Ticker,Company Name,Country,State,Exchange,Sector,Industry,IPO Date
AFBI,Affinity Bancshares Inc.,US,GA,NASDAQ,Financial Services,Banks-Regional,2020-07-23
AFCG,AFC Gamma Inc.,US,FL,NASDAQ,Real Estate,REIT-Specialty,2021-02-11
AFG,American Financial Group Inc.,US,OH,NYSE,Financial Services,Insurance-Property & Casualty,1980-03-17
AFGE,American Financial Group Inc.,US,,NYSE,Industrials,,2020-09-18
AFIB,Acutus Medical Inc.,US,CA,NASDAQ,Healthcare,Medical Devices,2020-08-06
AFL,Aflac Incorporated,US,GA,NYSE,Financial Services,Insurance-Life,1974-06-15
AFMD,Affimed N.V.,DE,,NASDAQ,Healthcare,Biotechnology,2014-09-12
AFRI,Forafric Global PLC,GI,,NASDAQ,Consumer Defensive,Farm Products,2022-06-10
AFRIW,Forafric Global PLC,GI,,NASDAQ,Consumer Defensive,Farm Products,2022-06-10
AFRM,Affirm Holdings Inc.,US,CA,NASDAQ,Technology,Software-Infrastructure,2021-01-13
AFT,Apollo Senior Floating Rate Fund Inc.,US,NY,NYSE,Financial Services,Asset Management,2011-02-24
AFYA,Afya Limited,BR,MG,NASDAQ,Consumer Defensive,Education & Training Services,2019-07-19
AG,First Majestic Silver Corp.,CA,BC,NYSE,Basic Materials,Silver,1981-05-22
AGAE,Allied Gaming & Entertainment Inc.,US,CA,NASDAQ,Communication Services,Entertainment,2017-10-25
AGBA,AGBA Acquisition Limited,HK,,NASDAQ,Financial Services,Shell Companies,2019-05-14
AGCB,Altimeter Growth Corp. 2,US,CA,NYSE,Financial Services,Shell Companies,2021-01-07
AGCO,AGCO Corporation,US,GA,NYSE,Industrials,Farm & Heavy Construction Machinery,1992-06-16
AGD,Abrdn Global Dynamic Dividend Fund,GB,,NYSE,Financial Services,Asset Management,2006-07-26
AGE,AgeX Therapeutics Inc.,US,CA,AMEX,Healthcare,Biotechnology,2018-11-29
AGEN,Agenus Inc.,US,MA,NASDAQ,Healthcare,Biotechnology,2000-02-04
AGFY,Agrify Corporation,US,MA,NASDAQ,Industrials,Engineering & Construction,2021-01-26
AGGRU,Agile Growth Corp.,US,MA,NASDAQ,Financial Services,Shell Companies,2021-03-09
AGGRW,Agile Growth Corp.,US,MA,NASDAQ,,,2021-04-30
AGI,Alamos Gold Inc.,CA,ON,NYSE,Basic Materials,Gold,2015-07-06
AGIL,AgileThought Inc.,US,TX,NASDAQ,Technology,Software-Application,2020-01-14
AGILW,AgileThought Inc.,,,NASDAQ,,,
AGIO,Agios Pharmaceuticals Inc.,US,MA,NASDAQ,Healthcare,Biotechnology,2013-07-24
AGL,agilon health inc.,US,TX,NYSE,Healthcare,Medical Care Facilities,2021-04-15
